Date,Price,Volume,Change,
2018-09-22,6703,169080003,-0.21%,0.618094155
2018-09-23,6584,324660683,-1.81%,0.270864564
2018-09-26,6686,345096700,3.34%,0.779944021
2018-09-28,6604,245055397,-0.48%,0.898670701
2018-10-07,6650,313507434,0.74%,0.099887554
2018-10-11,6251,289840137,0.66%,0.467087622
2018-10-13,6278,215422888,0.17%,0.510808669
2018-10-14,6612,1190524168,5.06%,0.273114959
2018-10-16,6575,220418637,-0.13%,0.875328087
2018-10-19,6491,127185848,0.33%,0.724243314
2018-10-24,6463,231214964,-0.21%,0.587285953
2018-10-27,6471,109118161,0.01%,0.418256195
2018-10-31,6381,199861220,0.61%,0.64613567
2018-11-04,6434,155758902,-0.52%,0.208959991
2018-11-06,6530,360052789,0.77%,0.285930342
2018-11-15,5586,397196183,-1.10%,0.03815957
2018-11-17,5615,233409182,0.82%,0.53330595
2018-11-19,4442,1433400842,-8.28%,0.543106417
2018-11-20,4593,686284918,3.29%,0.360689184
2018-12-04,3738,320944416,-5.64%,0.710972349
2018-12-05,3485,590923562,-7.24%,0.878367243
2018-12-14,3233,165378770,-0.09%,0.414741448
2018-12-23,4082,459290147,1.82%,0.968077508
2018-12-24,3835,367200911,-6.45%,0.946594571
2018-12-30,3747,206190464,-3.97%,0.954669949
2019-01-05,4103,236298044,6.03%,0.720233931
2019-01-08,4048,223639029,0.19%,0.692916742
2019-01-11,3664,103912541,-0.13%,0.007117922
2019-01-13,3704,204793030,4.12%,0.885609565
2019-01-16,3685,168287506,1.12%,0.928062674
2019-01-24,3583,116674681,-0.44%,0.370973245
2019-01-27,3453,206309739,-3.23%,0.682501087
2019-01-28,3418,158106687,-1.03%,0.498159936
2019-02-03,3431,82280895,-0.54%,0.34106521
2019-02-07,3660,317023029,7.78%,0.366864188
2019-02-08,3652,94200588,-0.21%,0.579921619
2019-02-10,3611,146354074,-2.04%,0.054283978
2019-02-11,3617,164816439,0.17%,0.862431443
2019-02-14,3593,130398989,0.13%,0.178913884
2019-02-18,3924,292137057,0.30%,0.329607038
2019-02-19,3974,209282292,1.25%,0.578032445
2019-02-22,4149,231174632,3.99%,0.901446184
2019-02-25,3818,126868887,-0.72%,0.086558823
2019-03-17,3989,109428479,-0.23%,0.814773756
2019-03-18,4024,118919147,0.88%,0.643899126
2019-03-22,4007,74094018,0.16%,0.59059693
2019-03-24,3925,136398998,-1.77%,0.923470119
2019-03-31,4151,152826759,0.93%,0.959868416
2019-04-07,5294,366577921,1.76%,0.086426904
2019-04-11,5082,220667544,0.65%,0.063346602
2019-04-13,5166,108148234,1.64%,0.343265202
2019-04-19,5326,123577002,0.58%,0.729363271
2019-04-23,5455,339093001,-1.55%,0.58964101
2019-04-26,5229,113430274,-0.09%,0.855199844
2019-04-28,5238,167206787,-0.66%,0.835632936
2019-05-07,5999,241917027,2.99%,0.796802047
2019-05-12,7806,1140302647,10.62%,0.731939541
2019-05-13,7980,976094121,2.18%,0.205070382
2019-05-14,8184,694202804,2.49%,0.198854297
2019-05-15,7874,762104108,-3.93%,0.991165808
2019-05-20,7948,357803947,-0.63%,0.494825496
2019-05-24,8059,179206342,0.78%,0.104510623
2019-05-26,8785,507164715,0.67%,0.759309108
2019-05-27,8719,360752200,-0.76%,0.044495603
2019-06-05,7807,342084400,0.21%,0.009008708
